Trade #,Entry Date,Exit Date,Type,Entry Price,Exit Price,Initial SL,Hard TP,Lots,PnL USD,Balance,Result,Exit Reason
70,2026-01-29 23:00,2026-01-30 01:00,LONG,5467.60,5349.18,5349.18,5763.66,1.89,-224.28,10989.60,LOSS,"Stop Loss Hit"
71,2026-02-03 10:00,2026-02-04 01:00,SHORT,4924.80,5041.17,5041.17,4633.87,1.89,-219.79,10769.80,LOSS,"Stop Loss Hit"
72,2026-02-04 14:00,2026-02-04 15:00,SHORT,5008.40,5007.90,5082.42,4823.36,2.91,1.46,10771.26,BREAKEVEN,"Breakeven / Trailing SL"
73,2026-02-05 01:00,2026-02-05 02:00,SHORT,4978.30,4977.80,5058.36,4778.15,2.69,1.35,10772.60,BREAKEVEN,"Breakeven / Trailing SL"
74,2026-02-10 01:00,2026-02-11 13:00,LONG,5054.90,5055.40,5000.40,5191.15,3.95,1.98,10774.58,BREAKEVEN,"Breakeven / Trailing SL"
75,2026-02-11 15:00,2026-02-12 16:00,LONG,5084.20,5032.09,5032.09,5214.47,4.14,-215.49,10559.09,LOSS,"Stop Loss Hit"
76,2026-02-13 09:00,2026-02-13 15:00,SHORT,4990.10,5039.23,5039.23,4867.27,4.30,-211.18,10347.91,LOSS,"Stop Loss Hit"
77,2026-02-16 02:00,2026-02-17 05:00,SHORT,5014.80,4900.04,5060.70,4900.04,4.51,517.40,10865.30,WIN,"Take Profit Target Hit"
78,2026-02-19 20:00,2026-02-20 15:00,LONG,5020.60,5021.10,4989.82,5097.55,7.06,3.53,10868.83,BREAKEVEN,"Breakeven / Trailing SL"
79,2026-02-24 02:00,2026-02-24 12:00,LONG,5209.00,5166.67,5166.67,5314.83,5.14,-217.38,10651.46,LOSS,"Stop Loss Hit"
80,2026-02-24 17:00,2026-02-24 23:00,LONG,5182.00,5140.92,5140.92,5284.70,5.19,-213.03,10438.43,LOSS,"Stop Loss Hit"
81,2026-02-25 01:00,2026-02-25 20:00,LONG,5195.10,5195.60,5153.91,5298.08,5.07,2.53,10440.96,BREAKEVEN,"Breakeven / Trailing SL"
82,2026-02-26 00:00,2026-02-26 14:00,LONG,5203.20,5166.41,5166.41,5295.16,5.68,-208.82,10232.14,LOSS,"Stop Loss Hit"
83,2026-02-26 15:00,2026-02-27 21:00,LONG,5202.50,5298.24,5164.20,5298.24,5.34,511.61,10743.75,WIN,"Take Profit Target Hit"
84,2026-03-02 23:00,2026-03-03 06:00,LONG,5359.10,5310.89,5310.89,5479.63,4.46,-214.87,10528.87,LOSS,"Stop Loss Hit"
85,2026-03-04 02:00,2026-03-06 15:00,SHORT,5165.40,5164.90,5246.21,4963.37,2.61,1.30,10530.18,BREAKEVEN,"Breakeven / Trailing SL"
86,2026-03-08 23:00,2026-03-09 01:00,SHORT,5083.40,5082.90,5137.77,4947.48,3.87,1.94,10532.11,BREAKEVEN,"Breakeven / Trailing SL"
87,2026-03-09 06:00,2026-03-09 22:00,SHORT,5104.80,5162.81,5162.81,4959.78,3.63,-210.64,10321.47,LOSS,"Stop Loss Hit"
88,2026-03-11 19:00,2026-03-11 22:00,LONG,5191.00,5158.12,5158.12,5273.19,6.28,-206.43,10115.04,LOSS,"Stop Loss Hit"
89,2026-03-12 13:00,2026-03-12 20:00,SHORT,5157.40,5074.29,5190.64,5074.29,6.09,505.75,10620.79,WIN,"Take Profit Target Hit"
90,2026-03-13 13:00,2026-03-13 14:00,SHORT,5107.50,5107.00,5138.85,5029.13,6.78,3.39,10624.18,BREAKEVEN,"Breakeven / Trailing SL"
91,2026-03-16 14:00,2026-03-17 04:00,SHORT,5000.80,5044.13,5044.13,4892.47,4.90,-212.48,10411.70,LOSS,"Stop Loss Hit"
